Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,Base fulfilment fee per unit,Base fulfilment fee quantity,Base fulfilment fee total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,FBA fulfilment fees per unit,FBA fulfilment fees quantity,FBA fulfilment fees total,FBA removal order fee per unit,FBA removal order fee quantity,FBA removal order fee total,FixedClosingFee per unit,FixedClosingFee quantity,FixedClosingFee total,Inbound transportation charge per unit,Inbound transportation charge quantity,Inbound transportation charge total,Referral fee per unit,Referral fee quantity,Referral fee total,RefundCommissionFee per unit,RefundCommissionFee quantity,RefundCommissionFee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per unit
IN,03/25/2024,09/24/2024,B0D548TLJB,B0C85MRCKN,,Knee Sock_Black_Grey_Blue_Universal_PO3,INR,2299,1,0,1,2299,2299,,,,,,,,,,,,,71.98,1,71.98,,,,463.89,1,463.89,,,,11.19,14,156.72,,,1606.41,1606.41
IN,03/25/2024,09/24/2024,B09Y5DZZHM,B09Y5DZZHM,,Knee Sock_Blue_S/M,INR,799,1,0,1,799,799,,,,,,,,,,,,,35.4,1,35.4,,,,175.77,1,175.77,,,,,,,,,587.83,587.83
IN,03/25/2024,09/24/2024,B0CY9C8RN2,B0CV3V4JZ1,,TBCL_packof2_L/XL,INR,498.29,1,0,1,498.29,498.29,,,,,,,,,,,,,14.16,1,14.16,,,,85.67,1,85.67,,,,,,,,,398.46,398.46
IN,03/25/2024,09/24/2024,B0CNVRMX9P,B0CNVMRXNP,,TEC M pair_FBA,INR,499,1,0,1,499,499,16.52,1,16.52,49.56,1,49.56,16.52,1,16.52,11.8,27,318.6,14.16,1,14.16,,,,67.72,1,67.72,,,,22,26,571.9,,,-539.46,-539.46
IN,03/25/2024,09/24/2024,B0CNVRMX9P,B0CNVL16X6,,TEC S pair_FBA,INR,499,1,0,1,499,499,16.52,1,16.52,74.34,1,74.34,16.52,1,16.52,11.8,27,318.6,14.16,1,14.16,,,,64.33,1,64.33,,,,,0,0,,,11.05,11.05
IN,03/25/2024,09/24/2024,B0CNVRMX9P,B0CNVKBKDW,,TEC XL pair,INR,499,1,1,0,499,0,,,,,,,,,,,,,10.62,1,10.62,,,,64.33,1,64.33,82.6,1,82.6,15.55,8,124.41,,,-281.96,
IN,03/25/2024,09/24/2024,B0CNVRMX9P,B0CNVKBKDW,,TEC XL pair_FBA,INR,499,1,0,1,499,499,16.52,1,16.52,74.34,1,74.34,16.52,1,16.52,11.8,26,306.8,14.16,1,14.16,,,,67.72,1,67.72,,,,,,,,,19.46,19.46
IN,03/25/2024,09/24/2024,B0D56R1VYX,B0B8YZGYGM,,TG-AL-ME-L/XL_FBA,INR,522.76,1,0,1,522.76,522.76,,,,,,,,,,,,,10.62,1,10.62,,,,64.77,1,64.77,,,,8.42,4,33.67,,,413.7,413.7
IN,03/25/2024,09/24/2024,B0CY9C8RN2,B0CV3T4WYC,,TGCL_packof2_S/M,INR,499,1,0,1,499,499,,,,,,,,,,,,,14.16,1,14.16,,,,76.55,1,76.55,,,,,,,,,408.29,408.29
IN,03/25/2024,09/24/2024,B0D92165QK,B0D9216RXN,,TKC L Grey2,INR,499,1,0,1,499,499,,,,,,,,,,,,,10.62,1,10.62,,,,64.19,1,64.19,,,,,,,,,424.19,424.19
